ZIP_CODE,DELIVERY_TYPE,NET_MV,TUE_NET_MV,TUE_MV_PCT,WED_NET_MV,WED_MV_PCT,THU_NET_MV,THU_MV_PCT,SUN_NET_MV,SUN_MV_PCT,ORDER_COUNT
10036,FULFLLD,32675.350000,6452.130000,0.197461695131,,,5707.350000,0.174668366215,14172.530000,0.433737664631,549
10282,FULFLLD,12007.340000,2935.340000,0.244462137326,,,917.710000,0.076429084210,6213.740000,0.517495132144,142
10069,FULFLLD,5381.870000,1484.340000,0.275803763376,,,896.300000,0.166540626214,1557.280000,0.289356673424,68
11379,FULFLLD,4238.410000,,,,,229.230000,0.054083960731,1736.770000,0.409769229499,38
10025,FULFLLD,36743.110000,5394.810000,0.146825078226,,,2574.720000,0.070073545761,10533.060000,0.286667622855,532
08854,FULFLLD,1666.850000,1149.020000,0.689336173021,,,443.990000,0.266364699883,73.840000,0.044299127096,32
10028,FULFLLD,18846.720000,3156.700000,0.167493335710,,,1883.570000,0.099941528287,8125.860000,0.431155129381,290
10003,FULFLLD,20233.590000,4276.490000,0.211355967972,,,2561.400000,0.126591474869,1951.960000,0.096471263874,332
07079,FULFLLD,3159.180000,411.960000,0.130400926823,,,125.150000,0.039614710146,2622.070000,0.829984363031,27
10012,FULFLLD,13937.410000,1395.200000,0.100104682290,,,2826.510000,0.202800233329,6087.810000,0.436796363169,155
08840,FULFLLD,678.290000,440.250000,0.649058662224,,,107.170000,0.158000265373,130.870000,0.192941072403,26
11207,FULFLLD,3811.670000,546.680000,0.143422699237,,,986.130000,0.258713372354,143.580000,0.037668528493,63
06901,FULFLLD,1346.130000,,,,,1346.130000,1.000000000000,,,28
08882,FULFLLD,392.450000,,,,,,,392.450000,1.000000000000,15
10305,FULFLLD,201.240000,201.240000,1.000000000000,,,,,,,4
07009,FULFLLD,201.750000,,,,,,,201.750000,1.000000000000,4
11579,DIRECT_VIA_NASH,293.620000,,,,,84.470000,0.287684762618,99.130000,0.337613241605,3
08817,FULFLLD,338.060000,,,,,141.340000,0.418091463054,196.720000,0.581908536946,7
07932,DIRECT_VIA_NASH,424.160000,149.330000,0.352060543191,,,81.550000,0.192262353829,193.280000,0.455677102980,4
11234,FULFLLD,488.600000,477.950000,0.978203029063,,,10.650000,0.021796970937,,,4
07104,FULFLLD,54.170000,,,,,54.170000,1.000000000000,,,1
11206,FULFLLD,12635.610000,2352.500000,0.186180168587,,,1501.880000,0.118860901848,5665.280000,0.448358251006,153
11101,FULFLLD,30515.890000,6202.660000,0.203260006508,,,3358.240000,0.110048895838,10210.860000,0.334607969815,513
11377,FULFLLD,1453.620000,710.490000,0.488772856730,,,355.300000,0.244424264939,71.250000,0.049015561151,33
11201,FULFLLD,39766.410000,7792.950000,0.195968155033,,,3109.510000,0.078194385664,11129.630000,0.279875150913,818
11203,FULFLLD,1002.480000,222.980000,0.222428377623,,,,,683.820000,0.682128321762,47
